supporting_grant_ids,doi,year,title
['grant.2687202'],10.1089/aid.1992.8.1451,1992,Development and Analysis of Recombinant BCG Vector Systems
['grant.3939603'],10.1038/s41598-019-40145-0,2019,Bacillus Calmette-Guérin Induces PD-L1 Expression on Antigen-Presenting Cells via Autocrine and Paracrine Interleukin-STAT3 Circuits
"['grant.3939603', 'grant.5124234', 'grant.7123623']",10.1038/s41467-019-09816-4,2019,Spatial and temporal localization of immune transcripts defines hallmarks and diversity in the tuberculosis granuloma
['grant.3796896'],10.1016/j.ijpx.2018.100001,2019,Protein delivery by porous cationic maltodextrin-based nanoparticles into nasal mucosal cells: comparison with cationic or anionic nanoparticles
"['grant.6581522', 'grant.3798782']",10.1093/cid/ciy1140,2019,"First-in-human, randomized, double-blind clinical trial of differentially adjuvanted PAMVAC, a vaccine candidate to prevent pregnancy-associated malaria"
['grant.3839140'],10.1016/j.vetmic.2019.108401,2019,Evaluation of CpG-ODN-adjuvanted polyanhydride-based intranasal influenza nanovaccine in pigs
['grant.3839140'],10.1016/j.vaccine.2019.08.082,2019,Protective immunity against influenza virus challenge by norovirus P particle-M2e and HA2-AtCYN vaccines in chickens
"['grant.7099836', 'grant.7107420']",10.1111/hel.12658,2019,The frequency of circulating integrin α4β7+ cells correlates with protection against Helicobacter pylori infection in immunized mice
['grant.4659393'],10.1099/mgen.0.000290,2019,Gauging the epidemic potential of a widely circulating non-invasive meningococcal strain in Africa.
"['grant.8341918', 'grant.8370082', 'grant.8360099', 'grant.8334271']",10.3389/fcimb.2019.00147,2019,Cross-Protection Against Four Serotypes of Dengue Virus in Mice Conferred by a Zika DNA Vaccine
['grant.3798782'],10.1007/s10295-018-02119-5,2019,"High-affinity transport, cyanide-resistant respiration, and ethanol production under aerobiosis underlying efficient high glycerol consumption by Wickerhamomyces anomalus"
['grant.3795062'],10.1016/j.apsb.2019.05.003,2019,Pulmonary immunization: Deposition site is of minor relevance for Influenza vaccination but deep lung deposition is crucial for Hepatitis B vaccination
['grant.3796896'],10.1038/s41590-019-0345-x,2019,Interferon-λ enhances adaptive mucosal immunity by boosting release of thymic stromal lymphopoietin
['grant.3795062'],10.3389/fimmu.2019.00646,2019,Cross-Protective Potential and Protection-Relevant Immune Mechanisms of Whole Inactivated Influenza Virus Vaccines Are Determined by Adjuvants and Route of Immunization
['grant.3939603'],10.1371/journal.pone.0213150,2019,Hydroalcoholic extract from Origanum vulgare induces a combined anti-mycobacterial and anti-inflammatory response in innate immune cells
['grant.3839140'],10.1016/j.vaccine.2019.01.037,2019,Heterosubtypic protection against avian influenza virus by live attenuated and chimeric norovirus P-particle-M2e vaccines in chickens
"['grant.2705123', 'grant.2692266', 'grant.2692265', 'grant.2705187', 'grant.2692267', 'grant.2692268', 'grant.2692264']",10.1542/peds.2018-2094,2019,Live Attenuated and Inactivated Influenza Vaccine Effectiveness
['grant.3939603'],10.4110/in.2019.19.e24,2019,Emerging Themes for the Role of Antibodies in Tuberculosis
"['grant.5503915', 'grant.3936141']",10.1111/imm.12985,2018,T‐cell subset differentiation and antibody responses following antiretroviral therapy during simian immunodeficiency virus infection
['grant.4659393'],10.1186/s12879-018-3589-4,2018,New molecular tools for meningitis diagnostics in Ethiopia – a necessary step towards improving antimicrobial prescription
"['grant.5503773', 'grant.5504482', 'grant.5503865', 'grant.2692266', 'grant.2692264', 'grant.2692268', 'grant.5504214', 'grant.2692265', 'grant.2692267', 'grant.5477091', 'grant.5503768']",10.1016/j.vaccine.2018.10.093,2018,"Influenza vaccine effectiveness among patients with high-risk medical conditions in the United States, 2012–2016"
"['grant.5053907', 'grant.3858857', 'grant.4057204', 'grant.2459564']",10.1038/s41467-018-02827-7,2018,Crystal structure reveals vaccine elicited bactericidal human antibody targeting a conserved epitope on meningococcal fHbp
"['grant.4243346', 'grant.8185917', 'grant.8190383']",10.1038/s41541-017-0041-5,2018,Bi-valent polysaccharides of Vi capsular and O9 O-antigen in attenuated Salmonella Typhimurium induce strong immune responses against these two antigens
"['grant.3780035', 'grant.3798782']",10.1186/s12936-018-2498-8,2018,Dynamics of Plasmodium falciparum gametocyte carriage in pregnant women under intermittent preventive treatment with sulfadoxine–pyrimethamine in Benin
"['grant.2438819', 'grant.2440200', 'grant.2435659', 'grant.5503915', 'grant.2435876', 'grant.3936141']",10.1038/s41598-017-18540-2,2018,Modeling tumor immunity of mouse glioblastoma by exhausted CD8+ T cells
"['grant.5503915', 'grant.5124532', 'grant.3936141', 'grant.6664295', 'grant.7029776', 'grant.2695892', 'grant.5475622', 'grant.7439869']",10.4049/jimmunol.1800885,2018,Combined HDAC and BET Inhibition Enhances Melanoma Vaccine Immunogenicity and Efficacy
"['grant.8360099', 'grant.8334271', 'grant.8380901', 'grant.8341918', 'grant.8337021']",10.1016/j.celrep.2018.10.025,2018,Zika Virus Infection in Hypothalamus Causes Hormone Deficiencies and Leads to Irreversible Growth Delay and Memory Impairment in Mice
['grant.4057204'],10.1128/mbio.01914-18,2018,NadA3 Structures Reveal Undecad Coiled Coils and LOX1 Binding Regions Competed by Meningococcus B Vaccine-Elicited Human Antibodies
"['grant.5494173', 'grant.3795062']",10.3389/fimmu.2018.02312,2018,Cross-Protective Immune Responses Induced by Sequential Influenza Virus Infection and by Sequential Vaccination With Inactivated Influenza Vaccines
['grant.4942762'],10.1371/journal.pone.0204924,2018,"Transcriptome analyses of Atlantic salmon muscle genes induced by a DNA vaccine against salmonid alphavirus, the causative agent of salmon pancreas disease (PD)"
['grant.7099836'],10.1016/j.vaccine.2018.07.073,2018,Preclinical immunogenicity and protective efficacy of an oral Helicobacter pylori inactivated whole cell vaccine and multiple mutant cholera toxin: A novel and non-toxic mucosal adjuvant
['grant.3839140'],10.2147/ijn.s178809,2018,Liposomal nanoparticle-based conserved peptide influenza vaccine and monosodium urate crystal adjuvant elicit protective immune response in pigs
"['grant.8194782', 'grant.8201359', 'grant.8185917']",10.1016/j.ijmm.2018.06.001,2018,Flagellin-deficient outer membrane vesicles as adjuvant induce cross-protection of Salmonella Typhimurium outer membrane proteins against infection by heterologous Salmonella serotypes
"['grant.3765987', 'grant.3800484']",10.1371/journal.pone.0204776,2018,Structure and applications of novel influenza HA tri-stalk protein for evaluation of HA stem-specific immunity
['grant.3939603'],10.3389/fimmu.2018.01939,2018,Early Resistance of Non-virulent Mycobacterial Infection in C57BL/6 Mice Is Associated With Rapid Up-Regulation of Antimicrobial Cathelicidin Camp
['grant.2601233'],10.1128/iai.00490-18,2018,Screening for Th17-Dependent Pneumococcal Vaccine Antigens: Comparison of Murine and Human Cellular Immune Responses
"['grant.2692265', 'grant.2705187', 'grant.5504482', 'grant.2692267', 'grant.5477091', 'grant.2692264', 'grant.2705123', 'grant.2705238', 'grant.5504214', 'grant.2692266', 'grant.2692268', 'grant.5503773', 'grant.5503865']",10.1093/infdis/jix634,2018,Influence of Birth Cohort on Effectiveness of 2015-2016 Influenza Vaccine Against Medically Attended Illness Due to 2009 Pandemic Influenza A(H1N1) Virus in the United States.
"['grant.2705123', 'grant.5503773', 'grant.5504482', 'grant.2692264', 'grant.5504214', 'grant.2705187', 'grant.2692267', 'grant.2692268', 'grant.2692266', 'grant.2692265']",10.1001/jamanetworkopen.2018.0243,2018,Outpatient Antibiotic Prescribing for Acute Respiratory Infections During Influenza Seasons
['grant.3798782'],10.1093/cid/ciy380,2018,Persistent Plasmodium falciparum Infection in Women With an Intent to Become Pregnant as a Risk Factor for Pregnancy-associated Malaria.
['grant.3839140'],10.3389/fimmu.2018.00934,2018,Mucosal Immunity and Protective Efficacy of Intranasal Inactivated Influenza Vaccine Is Improved by Chitosan Nanoparticle Delivery in Pigs
['grant.5503915'],10.1089/aid.2017.0251,2018,Dynamics of Lymphocyte Reconstitution After Hematopoietic Transplantation During Chronic Lymphocytic Choriomeningitis Virus Infection
['grant.3800251'],10.1016/j.autneu.2017.12.008,2018,Present and future of disease-modifying therapies in multiple system atrophy
['grant.3839140'],10.1371/journal.pone.0195285,2018,Efficacy and synergy of live-attenuated and inactivated influenza vaccines in young chickens
"['grant.2562984', 'grant.3802366', 'grant.4241845', 'grant.5503915']",10.1084/jem.20171285,2018,Peripherally derived T regulatory and γδ T cells have opposing roles in the pathogenesis of intractable pediatric epilepsy
"['grant.', 'grant.4659393']",10.1128/jb.00794-17,2018,Genotypic and Phenotypic Characterization of the O-Linked Protein Glycosylation System Reveals High Glycan Diversity in Paired Meningococcal Carriage Isolates
"['grant.7029431', 'grant.5503915', 'grant.4103940', 'grant.2438712', 'grant.3936141', 'grant.2681800', 'grant.2695892']",10.1128/jvi.02103-17,2018,Adenovirus Vector Vaccination Impacts NK Cell Rheostat Function following Lymphocytic Choriomeningitis Virus Infection
['grant.3939603'],10.1016/j.ymthe.2017.12.016,2018,Nanoparticle-Fusion Protein Complexes Protect against Mycobacterium tuberculosis Infection
"['grant.3800484', 'grant.']",10.1016/j.vaccine.2017.12.053,2018,A virus-like particle vaccine candidate for influenza A virus based on multiple conserved antigens presented on hepatitis B tandem core particles
"['grant.8190383', 'grant.8185917']",10.1016/j.vaccine.2018.01.036,2018,A bivalent vaccine derived from attenuated Salmonella expressing O-antigen polysaccharide provides protection against avian pathogenic Escherichia coli O1 and O2 infection
"['grant.7939560', 'grant.8018729', 'grant.3800251']",10.1002/1873-3468.12983,2018,Advancements of the sFIDA method for oligomer‐based diagnostics of neurodegenerative diseases
"['grant.2692267', 'grant.2692266', 'grant.5504214', 'grant.2692264', 'grant.5504482', 'grant.5503865', 'grant.2692268', 'grant.2692265', 'grant.5477091', 'grant.5503773']",10.1016/j.vaccine.2018.01.045,2018,Influenza vaccine effectiveness in older adults compared with younger adults over five seasons
"['grant.5494036', 'grant.3795062', 'grant.3787179']",10.3389/fimmu.2017.01928,2018,Seasonal Influenza Split Vaccines Confer Partial Cross-Protection against Heterologous Influenza Virus in Ferrets When Combined with the CAF01 Adjuvant
['grant.3795062'],10.1016/j.vetimm.2017.11.007,2018,Protective effect of a polyvalent influenza DNA vaccine in pigs
"['grant.2705123', 'grant.2692267', 'grant.5504482', 'grant.5504214', 'grant.5477091', 'grant.2692268', 'grant.2692266', 'grant.2692264', 'grant.5503773', 'grant.2692265', 'grant.2705187']",10.1016/j.vaccine.2017.12.014,2018,"Burden of medically attended influenza infection and cases averted by vaccination – United States, 2013/14 through 2015/16 influenza seasons"
"['grant.2692264', 'grant.5504482']",10.1016/j.vaccine.2017.12.022,2018,The impact of selection bias on vaccine effectiveness estimates from test-negative studies
"['grant.5503915', 'grant.3936141']",10.1128/msphere.00415-17,2017,Novel Concepts for HIV Vaccine Vector Design
"['grant.8190383', 'grant.4243346', 'grant.8185917']",10.3389/fimmu.2017.01647,2017,O-Serotype Conversion in Salmonella Typhimurium Induces Protective Immune Responses against Invasive Non-Typhoidal Salmonella Infections
['grant.3795062'],10.1186/s12879-017-2341-9,2017,"Evaluation of the immunogenicity and safety of different doses and formulations of a broad spectrum influenza vaccine (FLU-v) developed by SEEK: study protocol for a single-center, randomized, double-blind and placebo-controlled clinical phase IIb trial"
"['grant.2641828', 'grant.2459536']",10.1038/s41541-017-0018-4,2017,Protection against inhalation anthrax by immunization with Salmonella enterica serovar Typhi Ty21a stably producing protective antigen of Bacillus anthracis
['grant.4895796'],10.1038/s41598-017-03527-w,2017,Peroxyoxalate Chemiluminescent Reaction as a Tool for Elimination of Tumour Cells Under Oxidative Stress
['grant.4659393'],10.1186/s12864-017-3806-3,2017,Whole genome sequencing reveals within-host genetic changes in paired meningococcal carriage isolates from Ethiopia
"['grant.4243346', 'grant.8185917', 'grant.6995003']",10.1093/femspd/ftx102,2017,A biologically conjugated polysaccharide vaccine delivered by attenuated Salmonella Typhimurium provides protection against challenge of avian pathogenic Escherichia coli O1 infection.
['grant.3939603'],10.1016/j.cyto.2017.09.007,2017,Murine IL-4Δ2 splice variant down-regulates IL-4 activities independently of IL-4Rα binding and STAT-6 phosphorylation
['grant.3775456'],10.1007/s12033-017-0030-y,2017,Cloning and Expression Analysis of Human Amelogenin in Nicotiana benthamiana Plants by Means of a Transient Expression System
"['grant.2681800', 'grant.2681855', 'grant.2623374', 'grant.5503915', 'grant.3936141']",10.1111/imm.12771,2017,Regulation of CD4 T cells and their effects on immunopathological inflammation following viral infection
['grant.8185917'],10.1002/jobm.201700153,2017,Salmonella Choleraesuis outer membrane vesicles: Proteomics and immunogenicity
['grant.3796896'],10.1016/j.ijpharm.2017.07.012,2017,Nasal nanovaccines
"['grant.2692268', 'grant.2692265', 'grant.5504482', 'grant.2705187', 'grant.5503865', 'grant.2692266', 'grant.5504214', 'grant.2705123', 'grant.2692264', 'grant.2692267', 'grant.5477091']",10.1056/nejmoa1700153,2017,Influenza Vaccine Effectiveness in the United States during the 2015–2016 Season
"['grant.2459625', 'grant.2601233']",10.1016/j.vaccine.2017.05.085,2017,Antibody-mediated protection against Staphylococcus aureus dermonecrosis and sepsis by a whole cell vaccine
"['grant.3936141', 'grant.5503915']",10.1111/imm.12734,2017,"T regulatory cells are critical for the maintenance, anamnestic expansion and protection elicited by vaccine‐induced CD8 T cells"
['grant.4659393'],10.1016/j.phrs.2017.04.030,2017,Outer membrane vesicles extracted from Neisseria meningitidis serogroup X for prevention of meningococcal disease in Africa
['grant.3798782'],10.1080/14760584.2017.1322512,2017,Pre-clinical and clinical development of the first placental malaria vaccine
"['grant.2692268', 'grant.2692265', 'grant.2705187', 'grant.2692266', 'grant.2705123', 'grant.2692264', 'grant.2692267']",10.1093/infdis/jix220,2017,Erratum.
['grant.3798782'],10.1016/j.vaccine.2017.05.027,2017,Clinical development of a VAR2CSA-based placental malaria vaccine PAMVAC: Quantifying vaccine antigen-specific memory B & T cell activity in Beninese primigravidae
"['grant.5503915', 'grant.3936141']",10.1111/imm.12739,2017,CD8 T‐cell regulation by T regulatory cells and the programmed cell death protein 1 pathway
['grant.3798782'],10.1016/j.vaccine.2017.05.054,2017,Improving the malaria transmission-blocking activity of a Plasmodium falciparum 48/45 based vaccine antigen by SpyTag/SpyCatcher mediated virus-like display
['grant.8169047'],10.1016/j.imbio.2017.01.007,2017,Enhanced immune response to a dual-promoter anti-caries DNA vaccine orally delivered by attenuated Salmonella typhimurium
['grant.8171715'],10.1016/j.heliyon.2017.e00303,2017,"Impact of heme on specific antibody production in mice: promotive, inhibitive or null outcome is determined by its concentration"
"['grant.4243346', 'grant.2601029', 'grant.8190383', 'grant.8185917']",10.1016/j.vaccine.2017.04.002,2017,Reversible synthesis of colanic acid and O-antigen polysaccharides in Salmonella Typhimurium enhances induction of cross-immune responses and provides protection against heterologous Salmonella challenge
['grant.3800251'],10.1007/s11910-017-0751-0,2017,Multiple System Atrophy - State of the Art
['grant.8178837'],10.1128/jvi.02462-16,2017,Recombinant Adenoviruses Displaying Matrix 2 Ectodomain Epitopes on Their Fiber Proteins as Universal Influenza Vaccines
"['grant.3800251', 'grant.8018729', 'grant.7940168', 'grant.7936218']",10.1016/j.cca.2017.01.010,2017,Nanoparticle standards for immuno-based quantitation of α-synuclein oligomers in diagnostics of Parkinson's disease and other synucleinopathies
['grant.3839140'],10.1371/journal.pone.0171174,2017,Supplementation of inactivated influenza vaccine with norovirus P particle-M2e chimeric vaccine enhances protection against heterologous virus challenge in chickens
['grant.3839140'],10.1016/j.jconrel.2016.12.039,2017,Biodegradable nanoparticle delivery of inactivated swine influenza virus vaccine provides heterologous cell-mediated immune response in pigs
['grant.7099836'],10.1111/imm.12676,2017,Induction of mucosal immune responses against Helicobacter pylori infection after sublingual and intragastric route of immunization
['grant.3839140'],10.1016/j.vaccine.2017.01.019,2017,Polyanhydride nanovaccine against swine influenza virus in pigs
"['grant.2516022', 'grant.2438793', 'grant.2458866']",10.1007/978-1-4939-6445-1_4,2017,Semisynthesis of Analogues of the Saponin Immunoadjuvant QS-21
"['grant.2692266', 'grant.2692264', 'grant.2705123', 'grant.2705187', 'grant.2692265', 'grant.2692267', 'grant.2692268']",10.1093/cid/ciw635,2016,2014–2015 Influenza Vaccine Effectiveness in the United States by Vaccine Type
"['grant.3776776', 'grant.3784086']",10.1007/s40830-016-0083-y,2016,On the Transformation Behavior of NiTi Shape-Memory Alloy Produced by SLM
['grant.4659393'],10.1186/s12879-016-1975-3,2016,"Prevalence and epidemiology of meningococcal carriage in Southern Ethiopia prior to implementation of MenAfriVac, a conjugate vaccine"
"['grant.2723587', 'grant.3798782']",10.1186/s12951-016-0181-1,2016,Bacterial superglue enables easy development of efficient virus-like particle based vaccines
"['grant.7192113', 'grant.8185917', 'grant.8190383', 'grant.4243346']",10.1016/j.ijmm.2016.08.004,2016,Outer membrane vesicles derived from Salmonella Typhimurium mutants with truncated LPS induce cross-protective immune responses against infection of Salmonella enterica serovars in the mouse model
"['grant.2640479', 'grant.2439078', 'grant.2454133', 'grant.2657785']",10.1186/s12866-016-0889-y,2016,Identification of Mycobacterium avium subsp. hominissuis secreted proteins using an in vitro system mimicking the phagosomal environment
"['grant.2705187', 'grant.2692268', 'grant.2692265', 'grant.2692266', 'grant.2692264', 'grant.2705123', 'grant.2692267']",10.1186/s12879-016-1839-x,2016,Classification and Regression Tree (CART) analysis to predict influenza in primary care patients
['grant.3798782'],10.1186/s12936-016-1527-8,2016,Clinical development of placental malaria vaccines and immunoassays harmonization: a workshop report
"['grant.4243346', 'grant.2601029', 'grant.7192113', 'grant.8185917']",10.1038/srep34776,2016,Outer membrane vesicles from flagellin-deficient Salmonella enterica serovar Typhimurium induce cross-reactive immunity and provide cross-protection against heterologous Salmonella challenge
['grant.3798782'],10.1186/s12936-016-1574-1,2016,Bacterial superglue generates a full-length circumsporozoite protein virus-like particle vaccine capable of inducing high and durable antibody responses
['grant.3795062'],10.1080/14760584.2016.1182869,2016,"Dry influenza vaccines: towards a stable, effective and convenient alternative to conventional parenteral influenza vaccination"
"['grant.2692266', 'grant.2692268', 'grant.2692264', 'grant.2692265', 'grant.2705123', 'grant.5477091', 'grant.2705187', 'grant.2692267']",10.1093/infdis/jiw181,2016,"Enhanced Genetic Characterization of Influenza A(H3N2) Viruses and Vaccine Effectiveness by Genetic Group, 2014–2015"
"['grant.2695820', 'grant.2435094', 'grant.2435196', 'grant.2682490']",10.1097/qad.0000000000001224,2016,Antibody responses to prime–boost vaccination with an HIV-1 gp145 envelope protein and chimpanzee adenovirus vectors expressing HIV-1 gp140
"['grant.2516022', 'grant.2458866', 'grant.2438793', 'grant.3780967']",10.1021/acs.accounts.6b00242,2016,Development of Improved Vaccine Adjuvants Based on the Saponin Natural Product QS-21 through Chemical Synthesis.
['grant.4660408'],10.1128/aem.00620-16,2016,Multilocus Sequence Analysis of Close Relatives Vibrio anguillarum and Vibrio ordalii
"['grant.2636506', 'grant.2641742']",10.1111/imm.12614,2016,Vitamin A or E and a catechin synergize as vaccine adjuvant to enhance immune responses in mice by induction of early interleukin‐15 but not interleukin‐1β responses
"['grant.8185917', 'grant.7192113', 'grant.4243346']",10.1016/j.vaccine.2016.07.010,2016,Regulated delayed synthesis of lipopolysaccharide and enterobacterial common antigen of Salmonella Typhimurium enhances immunogenicity and cross-protective efficacy against heterologous Salmonella challenge
['grant.4659393'],10.1111/sji.12451,2016,Salivary and Serum Antibody Response Against Neisseria meningitidis After Vaccination With Conjugate Polysaccharide Vaccines in Ethiopian Volunteers
"['grant.2438860', 'grant.2570002', 'grant.2604709', 'grant.2459932']",10.1038/mt.2016.121,2016,Intratumoral Infection with Murine Cytomegalovirus Synergizes with PD-L1 Blockade to Clear Melanoma Lesions and Induce Long-term Immunity
['grant.3795062'],10.1016/j.vaccine.2016.05.030,2016,A polyvalent influenza DNA vaccine applied by needle-free intradermal delivery induces cross-reactive humoral and cellular immune responses in pigs
"['grant.4642173', 'grant.4662839', 'grant.4647176', 'grant.4647743']",10.1038/srep25096,2016,A plant 35S CaMV promoter induces long-term expression of luciferase in Atlantic salmon
"['grant.2682023', 'grant.2457091', 'grant.2658044', 'grant.2704768']",10.1128/cvi.00150-16,2016,A Replication-Defective Human Type 5 Adenovirus-Based Trivalent Vaccine Confers Complete Protection against Plague in Mice and Nonhuman Primates
['grant.4642173'],10.3390/v8060173,2016,PKR Activation Favors Infectious Pancreatic Necrosis Virus Replication in Infected Cells
['grant.3796896'],10.1016/j.jconrel.2016.04.014,2016,Mechanisms allowing protein delivery in nasal mucosa using NPL nanoparticles
"['grant.2692267', 'grant.2692265', 'grant.2705187', 'grant.2705123', 'grant.2692268', 'grant.5504482', 'grant.2692264', 'grant.2692266']",10.1093/infdis/jiv577,2016,Influenza Vaccine Effectiveness Against 2009 Pandemic Influenza A(H1N1) Virus Differed by Vaccine Type During 2013–2014 in the United States
['grant.3776776'],10.1007/s12223-015-0431-x,2016,Bovine vaginal strain Kocuria kristinae and its characterization
['grant.3839140'],10.1371/journal.pone.0151922,2016,Entrapment of H1N1 Influenza Virus Derived Conserved Peptides in PLGA Nanoparticles Enhances T Cell Response and Vaccine Efficacy in Pigs
"['grant.8185917', 'grant.7192113']",10.1016/j.vetmic.2016.03.001,2016,Attenuated Salmonella Typhimurium delivery of a novel DNA vaccine induces immune responses and provides protection against duck enteritis virus
"['grant.2692265', 'grant.2692266', 'grant.2692267', 'grant.2692264', 'grant.2692268']",10.1002/jmv.24373,2016,Factors associated with real‐time RT‐PCR cycle threshold values among medically attended influenza episodes
"['grant.7192113', 'grant.8185917']",10.3390/ijms17030416,2016,Immunogenicity and Cross-Protective Efficacy Induced by Outer Membrane Proteins from Salmonella Typhimurium Mutants with Truncated LPS in Mice
"['grant.2516022', 'grant.2458866', 'grant.2438793']",10.1080/21645515.2015.1089370,2016,HLA-DR peptide occupancy can be regulated with a wide variety of small molecules
"['grant.2692266', 'grant.2692264', 'grant.2692267', 'grant.2705187', 'grant.2692265', 'grant.2692268', 'grant.2705123']",10.1097/inf.0000000000001006,2016,Influenza Vaccine Effectiveness for Fully and Partially Vaccinated Children 6 Months to 8 Years Old During 2011–2012 and 2012–2013
['grant.3775456'],10.1016/j.btre.2015.12.001,2016,Transient Bluetongue virus serotype 8 capsid protein expression in Nicotiana benthamiana
"['grant.2705187', 'grant.2695637', 'grant.2695638', 'grant.2705123', 'grant.2692266', 'grant.5504482', 'grant.2692267', 'grant.2692264', 'grant.2695636', 'grant.2692265', 'grant.2695635', 'grant.2692268']",10.1542/peds.2015-3279,2016,Seasonal Effectiveness of Live Attenuated and Inactivated Influenza Vaccine
"['grant.4676851', 'grant.4658763', 'grant.3795062']",10.1111/imm.12548,2016,Epitope specific T‐cell responses against influenza A in a healthy population
['grant.3795062'],10.1080/21645515.2015.1071455,2016,Safety and tolerability evaluation of the use of Montanide ISA™51 as vaccine adjuvant: A systematic review
['grant.3775456'],10.1111/pbi.12367,2016,The rat ErbB2 tyrosine kinase receptor produced in plants is immunogenic in mice and confers protective immunity against ErbB2+ mammary cancer
"['grant.2438793', 'grant.2516022', 'grant.2458866', 'grant.3780967']",10.1039/c5sc02978c,2016,Quillaja saponin variants with central glycosidic linkage modifications exhibit distinct conformations and adjuvant activities
['grant.4057204'],10.1016/j.csbj.2015.11.001,2016,Self-assembling protein nanoparticles in the design of vaccines
"['grant.3861885', 'grant.2765030']",10.1007/978-1-4939-3289-4_3,2016,Virus-Derived Vectors for the Expression of Multiple Proteins in Plants
"['grant.6996265', 'grant.8180234']",10.1186/s12977-015-0163-7,2015,Mice transgenic for equine cyclin T1 and ELR1 are susceptible to equine infectious anemia virus infection
"['grant.6755257', 'grant.5338753', 'grant.4895796']",10.1016/j.colsurfb.2015.10.051,2015,Cationic nanogels as Trojan carriers for disruption of endosomes
['grant.3775456'],10.1186/s12896-015-0180-6,2015,Feasibility of Cowpea chlorotic mottle virus-like particles as scaffold for epitope presentations
"['grant.2692268', 'grant.2692266', 'grant.2692265', 'grant.2692267', 'grant.2705123', 'grant.2705187', 'grant.2692264']",10.1093/cid/civ952,2015,Illness Severity and Work Productivity Loss Among Working Adults With Medically Attended Acute Respiratory Illnesses: US Influenza Vaccine Effectiveness Network 2012–2013
['grant.4659393'],10.1586/14760584.2015.1084232,2015,Serogroup A meningococcal conjugate vaccines in Africa
"['grant.2636506', 'grant.2641742']",10.1517/14712598.2015.1066331,2015,Induction of cellular and molecular immunomodulatory pathways by vitamin A and flavonoids.
"['grant.3700396', 'grant.3798782']",10.1371/journal.pone.0135406,2015,The Influence of Sub-Unit Composition and Expression System on the Functional Antibody Response in the Development of a VAR2CSA Based Plasmodium falciparum Placental Malaria Vaccine
['grant.3839140'],10.1016/j.vaccine.2015.07.049,2015,Immunogenicity and protective efficacy of the norovirus P particle-M2e chimeric vaccine in chickens
"['grant.2692265', 'grant.5477091', 'grant.2692264']",10.1016/j.vaccine.2015.07.098,2015,"Incidence of medically attended influenza infection and cases averted by vaccination, 2011/2012 and 2012/2013 influenza seasons"
['grant.4472767'],10.1111/pim.12206,2015,Analysis of iron superoxide dismutase‐encoding DNA vaccine on the evolution of the Leishmania amazonensis experimental infection
['grant.4472767'],10.1016/j.parint.2015.01.006,2015,Differential modulation of macrophage response elicited by glycoinositolphospholipids and lipophosphoglycan from Leishmania (Viannia) shawi
"['grant.2434960', 'grant.2559492', 'grant.2563535', 'grant.2441136', 'grant.6443815']",10.1161/jaha.115.001932,2015,Anti‐α4 Integrin Antibody Blocks Monocyte/Macrophage Traffic to the Heart and Decreases Cardiac Pathology in a SIV Infection Model of AIDS
['grant.4659393'],10.1128/cvi.00087-15,2015,"Development and Evaluation of a Multiplex Microsphere Assay for Quantitation of IgG and IgA Antibodies against Neisseria meningitidis Serogroup A, C, W, and Y Polysaccharides"
['grant.3795062'],10.3390/s150614526,2015,Simultaneous Voltammetric/Amperometric Determination of Sulfide and Nitrite in Water at BDD Electrode
"['grant.2601355', 'grant.', 'grant.2456770', 'grant.3839381']",10.1371/journal.pntd.0003839,2015,"Characterization of the Invasive, Multidrug Resistant Non-typhoidal Salmonella Strain D23580 in a Murine Model of Infection"
"['grant.2692268', 'grant.2705187', 'grant.2692267', 'grant.2692265', 'grant.2692266', 'grant.2692264', 'grant.2705123']",10.1093/cid/civ146,2015,Use of Influenza Antiviral Medications Among Outpatients at High Risk for Influenza-Associated Complications During the 2013–2014 Influenza Season
['grant.6996265'],10.1002/pmic.201400279,2015,Proteomic alteration of equine monocyte‐derived macrophages infected with equine infectious anemia virus
['grant.3939603'],10.1371/journal.pone.0127279,2015,Monosodium Urate Crystals Promote Innate Anti-Mycobacterial Immunity and Improve BCG Efficacy as a Vaccine against Tuberculosis
"['grant.2705187', 'grant.2692268', 'grant.2692265', 'grant.2692264', 'grant.2692266', 'grant.2705123', 'grant.2692267']",10.1093/infdis/jiu647,2015,Influenza Vaccine Effectiveness in the United States During 2012–2013: Variable Protection by Age and Virus Type
['grant.3795062'],10.3390/vaccines3020263,2015,National Differences in Requirements for Ethical and Competent Authority Approval for a Multinational Vaccine Trial under the EU Directive 2001/20/EC
"['grant.3643558', 'grant.2765030', 'grant.3634402', 'grant.2757159', 'grant.']",10.1371/journal.pone.0120751,2015,Tandem Fusion of Hepatitis B Core Antigen Allows Assembly of Virus-Like Particles in Bacteria and Plants with Enhanced Capacity to Accommodate Foreign Proteins
['grant.2692264'],10.1016/j.vaccine.2015.01.069,2015,Effects of imperfect test sensitivity and specificity on observational studies of influenza vaccine effectiveness
"['grant.2687519', 'grant.2705266', 'grant.2687504', 'grant.2687485', 'grant.2687499', 'grant.2424583', 'grant.2693410', 'grant.2439386', 'grant.2687514', 'grant.2705264', 'grant.2552553', 'grant.2632229', 'grant.2424625']",10.1097/qai.0000000000000475,2015,The Effect of Psychosocial Syndemic Production on 4-Year HIV Incidence and Risk Behavior in a Large Cohort of Sexually Active Men Who Have Sex With Men
