Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
N01AI50008-6-0-1,HIV Vaccines Design and Dev. Teams Part A - Preventative Vaccine,3200598,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI50008-6-0-0,HIV VACCINES DESIGN AND DEVELOPMENT TEAMS PART A - PREVENTATIVE VACCINE,7976947,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI50007-0-0-1,"HIV Vaccine Design and Development, Part A-Preventative Vaccines",1700000,2005,2010,National Institute of Allergy and Infectious Diseases,United States
J3-6363 (D),Priprava tumorskih vakcin: hibridomi in gensko spremenjene vakcine (basic research project),0,2004,2007,Slovenian Research Agency,Slovenia
H23IP000851,"Economics of Vaccines and Immunization Policies, Programs, and Practices for Adults: Prioritysetting for adult vaccines",149989,2014,2016,Centers for Disease Control and Prevention,United States
213682,Nanoparticle delivery systems for cancer vaccines - applications to a MUC1 lipopeptide cancer vaccine,294474,2000,2003,Natural Sciences and Engineering Research Council,Canada
N01AI025480,Millenium Vaccine Initiative-Novel Vaccines for TB and Malaria-26625480,0,2004,2004,National Institute of Allergy and Infectious Diseases,United States
X00120----187043,"現行ワクチンにかわる副作用のない破傷風ワクチンの作成法と, その二種(ジフテリア・破傷風)混合ワクチンへの応用",12432,1976,1976,Japan Society for the Promotion of Science,Japan
G023511N,Evaluatie van afgiftesystemen voor mRNA kanker vaccins,0,2011,2014,Research Foundation - Flanders,Belgium
G007614N,Naar een universeel op mRNA-gebaseerd therapeutisch vaccin tegen HIV,0,2014,2017,Research Foundation - Flanders,Belgium
1210812N,Ontwikkeling van een generische microparticulaire vaccin formulatie,0,2011,2014,Research Foundation - Flanders,Belgium
G003008N,Ontwikkeling van een vaccin tegen Ascaris suum bij het varken.,0,2008,2011,Research Foundation - Flanders,Belgium
81581240327,感染免疫、疫苗与治疗性抗体双边研讨会,12042,2015,2015,National Natural Science Foundation of China,China
80011764,用转基因植物生产口服疫苗,845,2000,2000,National Natural Science Foundation of China,China
60410106426,扫描探针显微学研制细胞免疫疫苗,2053,2004,2004,National Natural Science Foundation of China,China
39940006,疫苗防治人类乳头瘤病毒感染及宫颈癌的研究,6039,1999,1999,National Natural Science Foundation of China,China
39880043,人免疫缺陷病毒多肽疫苗的研究,21740,1999,2001,National Natural Science Foundation of China,China
39780032,肝片吸虫DNA疫苗研究,14488,1998,2000,National Natural Science Foundation of China,China
39680018,新型肝炎病毒基因克隆与DNA疫苗研究,17863,1997,1999,National Natural Science Foundation of China,China
39480022,BCG多价疫苗免疫保护作用的实验研究,11414,1995,1997,National Natural Science Foundation of China,China
39060057,脑包虫细胞系疫苗的研究,5168,1991,1993,National Natural Science Foundation of China,China
39000001,乙型脑炎活疫苗毒株的基因分析,8618,1991,1993,National Natural Science Foundation of China,China
38671111,猪伪狂犬病病毒重组疫苗的研究,6024,1987,1993,National Natural Science Foundation of China,China
30711220434,艾滋病疫苗新型策略与相关免疫学研究,2103,2007,2007,National Natural Science Foundation of China,China
30610103103,疟疾疫苗及其相关基础免疫学的研究,27526,2007,2008,National Natural Science Foundation of China,China
30531160053,鼻咽癌多肽疫苗研究及临床疗效评价,37887,2005,2007,National Natural Science Foundation of China,China
30210103222,新的疟疾疫苗靶点基因的功能研究,3262,2002,2002,National Natural Science Foundation of China,China
30080020,丙型肝炎病毒样颗粒疫苗的基础研究,16909,2001,2003,National Natural Science Foundation of China,China
1356X09,Entwicklung optimaler Herstellungsprozesse artifizieller Malariavakzine,365392,2009,2012,Federal Ministry of Education and Research,Germany
13025A10,Potenzierung von Impfstoffen durch gezieltes Design der Glykosylierung,357548,2010,2013,Federal Ministry of Education and Research,Germany
03VP00510,Kreuzprotektive und thermostabile Humane Papillomavirus Vakzine - T-panHPVvac,1172455,2016,2019,Federal Ministry of Education and Research,Germany
03V0347,Therapeutischer Impfstoff zur Behandlung von Zervixdysplasien,2215626,2012,2016,Federal Ministry of Education and Research,Germany
03FO2211,ForMaT: Diagnostika- und Impfstoffentwicklung für vernachlässigte Infektionskrankheiten,131436,2008,2009,Federal Ministry of Education and Research,Germany
03EFT2BW12,EXIST-Forschungstranfer: Entwicklung eines Impfstoffes gegen Malaria.,569700,2009,2010,Federal Ministry for Economic Affairs and Energy,Germany
031A521,Individualisierte Tumorimpfstoffe mittels eines viralen Vektors,571409,2014,2016,Federal Ministry of Education and Research,Germany
031A144,GO-Bio 5: VEROVACCINES - Tierimpfstoffe auf Hefebasis,3935142,2013,2018,Federal Ministry of Education and Research,Germany
315241,"BioPharma: Allianz für Antiinfektiva, Chemotherapeutika und Impfstoffe",146344,2008,2008,Federal Ministry of Education and Research,Germany
01KA1501,EDCTP: Malaria-Impfstoff-Entwicklung: zwei EDCTP Projekte,15864,2015,2015,Federal Ministry of Education and Research,Germany
SERB_968aca715e,Identification Of Novel Targets For Effective Drugs/Vaccines Against,43096,2017,2018,Science and Engineering Research Board,India
BCTR9903159,MUC1 as a Potential Breast Cancer Vaccine,248741,1999,2002,Susan G. Komen Breast Cancer Foundation,United States
N/A,Centre for Nano-vaccines (sagsnr.: 09-067052),4424845,2010,2015,Danish Ministry of Higher Education and Science,Denmark
627315,Oncolytic virus vaccine to cure different kinds of cancer,3463,2017,2018,Natural Sciences and Engineering Research Council,Canada
627268,Screening for immunogenic antigens for Zika virus vaccine,3463,2017,2018,Natural Sciences and Engineering Research Council,Canada
627088,Oncolytic virus vaccine to cure different kinds of cancer,3463,2017,2018,Natural Sciences and Engineering Research Council,Canada
627087,Oncolytic virus vaccine to cure different kinds of cancer,3463,2017,2018,Natural Sciences and Engineering Research Council,Canada
621083,Single-walled carbon nanotubes as delivery vehicle of vaccines,16174,2017,2018,Natural Sciences and Engineering Research Council,Canada
642507,Bioprocess Sciences and Technology of Viral Vaccines,154056,2017,2018,Natural Sciences and Engineering Research Council,Canada
N/A,Antigen Discovery for Human Helminth Vaccines Using Immunomics,0,2012,2012,Council for International Exchange of Scholars,United States
N/A,Vaccines That Induce Broadly Protective Antibodies Against Influenza,0,2017,2017,Council for International Exchange of Scholars,United States
N/A,Quillaja Saponin Adjuvants in Carbohydrate Cancer Vaccines,0,2010,2012,Council for International Exchange of Scholars,United States
N/A,Indo-U.S. Asthma Research Collaborative Group: Asthma Vaccine,0,2008,2008,Council for International Exchange of Scholars,United States
N/A,Quillaja Saponin Adjuvants in Carbohydrate Cancer Vaccines,0,2010,2012,Council for International Exchange of Scholars,United States
N/A,Development of a Recombinant DNA Vaccine Against Blackleg,0,2011,2012,Council for International Exchange of Scholars,United States
N/A,Toward Enhanced Pulmonary Delivery of Vaccines,0,2006,2007,Council for International Exchange of Scholars,United States
O3/IN3/B364STAR05,Developing a prototype MMR vaccine,15347,2005,2005,Science Foundation Ireland,Ireland
N/A,Lactococcus lactis live vaccines against leishmaniasis,14769,2005,2006,Canadian Institutes of Health Research,Canada
N/A,Strategic training program in vaccine development and delivery,3184,2002,2002,Canadian Institutes of Health Research,Canada
N/A,Needle-free Vaccines for Respiratory Viruses,346628,2002,2004,Canadian Institutes of Health Research,Canada
N/A,Development of proteosome-based vaccines for protozoan pathogens,63651,2001,2003,Canadian Institutes of Health Research,Canada
N/A,Mechanisms of dendritic cell-based cancer vaccines,235501,2002,2007,Canadian Institutes of Health Research,Canada
N/A,CIHR Team in Structure-Based Vaccine Design,7556,2006,2006,Canadian Institutes of Health Research,Canada
N/A,Transferring binding regions as vaccine agents,71400,2003,2004,Canadian Institutes of Health Research,Canada
N/A,Structural studies on antiidiotypic antibody vaccines,27317,1998,2001,Canadian Institutes of Health Research,Canada
N/A,Vaccine antigens for C. pneumoniae atherosclerosis,28049,1999,2000,Canadian Institutes of Health Research,Canada
N/A,Development of a Vaccine Against Canine Leishmaniasis,64572,2001,2002,Canadian Institutes of Health Research,Canada
N/A,Novel Dendritic Cell-based Vaccine of Cancer,66623,2004,2008,Canadian Institutes of Health Research,Canada
N/A,Human alloimmune responses and HIV-1 vaccine development,0,1998,2001,Canadian Institutes of Health Research,Canada
N/A,Transdermal delivery systems for protein medicines and vaccines,107932,2004,2006,Canadian Institutes of Health Research,Canada
N/A,Towards a Type 1 Diabetes Vaccine,63697,2002,2003,Canadian Institutes of Health Research,Canada
N/A,Cancer Vaccines: Targeting Cancer Genes for Immunotherapy,3017,2016,2016,Canadian Cancer Society,Canada
N/A,The role of Alloimmunization in HIV vaccine design,35506,1996,2001,Canadian Institutes of Health Research,Canada
N/A,Development of a novel intranasal vaccine against measles,68775,2003,2005,Canadian Institutes of Health Research,Canada
N/A,A DNA vaccine for chlamydia trachomatis,103437,2001,2004,Canadian Institutes of Health Research,Canada
N/A,Delivery of genetic vaccines through Microporated Skin,32616,2002,2003,Canadian Institutes of Health Research,Canada
N/A,Post-genomic studies of BCG vaccines,332091,1999,2005,Canadian Institutes of Health Research,Canada
N/A,Transcutaneous vaccines: Delivery and mechanisms of immune induction,56581,2000,2002,Canadian Institutes of Health Research,Canada
SERB_44e315abd3,Aptamer-mRNA Chimera-The Next Generation RNA vaccine,60383,2016,2017,Science and Engineering Research Board,India
211394,nd,1514,2016,2017,Fonds de Recherche du Québec – Nature et technologies,Canada
34259,Déterminants des couvertures vaccinales chez les enfants âgés de 1 an et 2 ans au Québec et impact épidémiologique des retards vaccinaux,29817,2016,2017,Fonds de Recherche du Québec - Santé,Canada
9955,DEVELOPMENT OF DNA VACCINES AGAINST CUTANEOUS T CELL LYMPHOMA,113067,2000,2003,Bloodwise,United Kingdom
9803,DNA VACCINES AS INDUCERS OF IMMUNITY AGAINST  HAEMATOLOGICAL MALIGNANCIES,746244,1998,1999,Bloodwise,United Kingdom
2015R1D1A1A02062348,미세막상 구조물을 이용한 비세포 항암 백신,0,2015,2016,National Research Foundation of Korea,South Korea
2015K1A3A7A03073714,차세대 결핵백신의 방어면역 바이오마커 발굴,0,2015,2016,National Research Foundation of Korea,South Korea
2013R1A2A1A03069903,다제내성 결핵을 표적으로 하는 치료백신 개발연구,0,2013,2014,National Research Foundation of Korea,South Korea
2012R1A1A1042735,다공성 실리카 나노입자를 이용한 암백신 전달체 연구,0,2012,2013,National Research Foundation of Korea,South Korea
2012R1A2A2A06045773,스마트 백신 경피 제형 및 레이저 면역보조제 개발,0,2012,2013,National Research Foundation of Korea,South Korea
2013K1A2A1043459,개발 도상국을 위한 백신 개발 지원 프로그램,0,2013,2014,National Research Foundation of Korea,South Korea
2014R1A2A1A11051899,유산균 항원운반체를 매개로 하는 급여형어류백신 개발 연구,0,2014,2015,National Research Foundation of Korea,South Korea
2010-00167,새로운 결핵 생백신 후보 물질의 개발 및 분석,0,2010,2011,National Research Foundation of Korea,South Korea
2011-0009339,Terpene 성분을 이용한 진균백신 개발,0,2011,2012,National Research Foundation of Korea,South Korea
2011-0015258,새로운 결핵 생백신 후보 물질의 개발 및 분석,0,2011,2012,National Research Foundation of Korea,South Korea
2010-0030044,신규 결핵예방백신 개발사업 기획연구,0,2010,2011,National Research Foundation of Korea,South Korea
2010-00713,새로운 결핵 생백신 후보 물질의 개발 및 분석,0,2010,2011,National Research Foundation of Korea,South Korea
2015361,H. pylori infection and oral enteric vaccines,60000,2015,2017,United States-Israel Binational Science Foundation,Israel
InP/038/15,A New Therapeutic Vaccine for HIV/AIDS,26697,2015,2016,Innovation and Technology Commission,China
ITS/194/13,A New Therapeutic Vaccine for HIV/AIDS,179388,2014,2016,Innovation and Technology Commission,China
N/A,Generation of HyperImmunogenic vaccines against human viral pathogens,881665,2013,2013,Danish Agency for Science and Higher Education,Denmark
N/A,Delivery of vaccine antigens on virus like particles,385160,2016,2016,Danish Agency for Science and Higher Education,Denmark
N/A,Less is more in TB vaccines,449644,2017,2017,Danish Agency for Science and Higher Education,Denmark
VM0104,Development of a potency test for leptospira vaccines,292991,1993,1996,Department for Environment Food and Rural Affairs,United Kingdom
SE3218,"Bovine TB vaccine programme advisor, Prof Douglas Young",105796,2003,2011,Department for Environment Food and Rural Affairs,United Kingdom
SE2912,Improved selection methods for emergency FMD vaccines,810873,1997,2000,Department for Environment Food and Rural Affairs,United Kingdom
SE2901,Improved selection methods for emergency FMD vaccines,652432,1994,1996,Department for Environment Food and Rural Affairs,United Kingdom
SE2804,Protective immune responses induced by FMDV vaccine,256438,1996,1999,Department for Environment Food and Rural Affairs,United Kingdom
SE2803,Antigenic properties of vaccine virus strains,232602,1993,1996,Department for Environment Food and Rural Affairs,United Kingdom
OZ0131,Live salmonella vaccines for the protection of poultry,185946,1997,1998,Department for Environment Food and Rural Affairs,United Kingdom
OZ0115,"`The development of live, rationallyattenuated salmonella vaccines`",653455,1994,1997,Department for Environment Food and Rural Affairs,United Kingdom
617355,Bioprocess Sciences and Technology of Viral Vaccines,150889,2016,2017,Natural Sciences and Engineering Research Council,Canada
606102,Synthesis of a Potential Lyme Disease Vaccine,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
602424,Oncolytic virus vaccine to cure different kinds of cancer,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
602423,Oncolytic virus vaccine to cure different kinds of cancer,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
602422,Oncolytic virus vaccine to cure different kinds of cancer,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
598373,Targeted microneedle insertion for epidermal vaccine delivery and biosensing,37718,2016,2017,Natural Sciences and Engineering Research Council,Canada
LY13H100003,FcR介导的具有特异免疫保护作用新型RSV粘膜疫苗的研究,0,2013,2017,Science and Technology Department of Zhejiang Province,China
17K16224,Development of RNA vaccine against dengue virus infection,37533,2017,2019,Japan Society for the Promotion of Science,Japan
940158,Construction of designer immunogens for use as vaccines,441609,1994,1998,National Health and Medical Research Council,Australia
890035,Development of a possible vaccine for gonorrhoea,72348,1989,1991,National Health and Medical Research Council,Australia
880846,Designing novel chemicals as potential influenza vaccines,70796,1988,1990,National Health and Medical Research Council,Australia
930141,An improved vaccine for hepatitis B virus,111817,1993,1995,National Health and Medical Research Council,Australia
971242,Schistosome proteolytic enzymes as drug and vaccine tar gets,69224,1997,1997,National Health and Medical Research Council,Australia
900170,Development of a vaccine to prevent malaria transmissio n,197208,1990,1992,National Health and Medical Research Council,Australia
910347,Development of AIDS vaccine using synthesized peptides.,123855,1991,1994,National Health and Medical Research Council,Australia
8118,Factors affecting the immunogenicity of pertussis vaccines,29704,2000,2001,National Health and Medical Research Council,Australia
900771,Search for active components for a malaria vaccine,203274,1990,1992,National Health and Medical Research Council,Australia
930123,The development of a safer whooping cough vaccine,99460,1993,1995,National Health and Medical Research Council,Australia
950472,Towards a vaccine against infantile diarrhoeal disease,171630,1995,1998,National Health and Medical Research Council,Australia
990037,Development of a Plant-Derived Oral Vaccine for Measles,111784,1999,2001,National Health and Medical Research Council,Australia
987521,Development of a nucleic acid vaccine for schistosomiasis,37292,1998,2001,National Health and Medical Research Council,Australia
284535,"Intestinal adapatation, Intususspection and rotavirus vaccine, applied clinical nutrition",170570,2004,2008,National Health and Medical Research Council,Australia
284475,Bacterial delivery of DNA vaccines: salmonella - endosome interactions,8896,2004,2004,National Health and Medical Research Council,Australia
437000,Clinical trials of RV3 oral human neonatal rotavirus vaccine,160408,2007,2011,National Health and Medical Research Council,Australia
418108,CD8+ T cell immunity to viruses and recombinant vaccines,414742,2007,2011,National Health and Medical Research Council,Australia
930841,How to turn malaria proteins into a vaccine,60047,1993,1993,National Health and Medical Research Council,Australia
981340,A cytotoxic T cell epitope based vaccine for HIV,199095,1998,2000,National Health and Medical Research Council,Australia
970804,The development of an oral whooping cough vaccine,106640,1997,1999,National Health and Medical Research Council,Australia
890949,Why are live vaccines often better than killed?,109212,1989,1991,National Health and Medical Research Council,Australia
931125,Relevance of bacterial surface structure to vaccine dev elopment,149976,1993,1995,National Health and Medical Research Council,Australia
OPP1025596,To develop and test a DNA vaccine for HIV,100000,2010,2012,Bill & Melinda Gates Foundation,United States
OPP1070514,To develop novel vesicle-derived vaccines against Mycobacterium tuberculosis.,440000,2012,2015,Bill & Melinda Gates Foundation,United States
OPP37868,To develop nanoemulsions and adjuvants for nasal-spray vaccines,6294086,2005,2012,Bill & Melinda Gates Foundation,United States
OPP1094567,To support CMV vector-based Vaccine Concept,2871805,2013,2016,Bill & Melinda Gates Foundation,United States
OPP37881,To develop an inexpensive therapeutic vaccine for human papillomavirus,3543549,2005,2013,Bill & Melinda Gates Foundation,United States
OPP1154635,To produce better and cheaper vaccines against polio,1847820,2016,2018,Bill & Melinda Gates Foundation,United States
OPP38637,To fund a vaccine discovery (antibody) consortium,25293370,2006,2013,Bill & Melinda Gates Foundation,United States
OPP1084286,To conduct a pneumococcal vaccine impact assessment in Bangladesh,6376130,2013,2019,Bill & Melinda Gates Foundation,United States
OPP38580,To develop a Global HIV Vaccine Research Cryorepository (GHRC),7782675,2006,2009,Bill & Melinda Gates Foundation,United States
OPP1148786,To test a novel universal influenza vaccine,385144,2016,2017,Bill & Melinda Gates Foundation,United States
OPP633,To develop a genetically engineered recombinant hookworm vaccine,18000000,2000,2006,Bill & Melinda Gates Foundation,United States
OPP33112,To conduct an analysis of pediatric enteric vaccine development,807080,2004,2005,Bill & Melinda Gates Foundation,United States
OPP1002555,To develop a unique delivery system for vaccines whose major health impact is in high burden countries allowing the conversion of existing injectable vaccines into oral and/or inhalation vaccines and expedite development of novel mucosal vaccines,804741,2011,2014,Bill & Melinda Gates Foundation,United States
X46120-----70030,狂犬病日卵ワクチンの改良,5178,1971,1971,Japan Society for the Promotion of Science,Japan
X46120-----70025,ボツリヌス中毒の経口ワクチンに関する研究,8287,1971,1971,Japan Society for the Promotion of Science,Japan
X46120-----70036,インフルエンザワクチンの改善に関する研究,11740,1971,1971,Japan Society for the Promotion of Science,Japan
X42120-----71124,インフルエンザ生ワクチンに関する研究(継2年),6768,1967,1967,Japan Society for the Promotion of Science,Japan
X43120-----71029,流行性耳下膜炎生ワクチンに関する研究,6906,1968,1968,Japan Society for the Promotion of Science,Japan
X00120----670025,ボッリヌス中毒の経口ワクチンに関する研究,6906,1972,1972,Japan Society for the Promotion of Science,Japan
X00120----670036,インフルエンザワクチンの改善に関する研究,8978,1972,1972,Japan Society for the Promotion of Science,Japan
X00120----787028,精製三種混合(D.T.P)ワクチンの試験的研究,17265,1972,1973,Japan Society for the Promotion of Science,Japan
X00120----387007,精製狂犬病ワクチンによる咬傷後免疫法の研究,17956,1978,1979,Japan Society for the Promotion of Science,Japan
X00120----187046,水痘生ワクチンの開発に関する研究,10360,1976,1976,Japan Society for the Promotion of Science,Japan
X00120----087080,水痘生ワクチンの開発に関する研究,12914,1975,1975,Japan Society for the Promotion of Science,Japan
X00120----587054,大腸菌K1株のワクチン開発研究,24172,1980,1980,Japan Society for the Promotion of Science,Japan
X00090----856161,緑膿菌の溶解ワクチンに関する研究,9323,1973,1973,Japan Society for the Promotion of Science,Japan
99J03631,SHIVを用いたAIDS弱毒生ワクチンの間発,31546,1999,2001,Japan Society for the Promotion of Science,Japan
98F00138,腸管寄生虫に対する粘膜ワクチンの開発,16256,1999,2000,Japan Society for the Promotion of Science,Japan
58771559,HB ワクチンによる歯科医師のB型肝炎予防対策について,6213,1983,1983,Japan Society for the Promotion of Science,Japan
58480395,抗齲蝕ワクチン開発に関する基礎的研究,42130,1983,1984,Japan Society for the Promotion of Science,Japan
56870053,肺炎球菌ワクチンの実用化に関する研究,11740,1981,1981,Japan Society for the Promotion of Science,Japan
57015012,抗原特異的抗腫瘍ワクチンの開発とその応用,22102,1982,1982,Japan Society for the Promotion of Science,Japan
22790870,DNAワクチンによる自己免疫性糖尿病の寛解,14803,2010,2010,Japan Society for the Promotion of Science,Japan
22240057,Programmed Activationに基づく人工DNAワクチンの創製,183583,2010,2010,Japan Society for the Promotion of Science,Japan
19790430,乳幼児におけるインフルエンザワクチンに対する免疫原性に関する研究,11034,2007,2007,Japan Society for the Promotion of Science,Japan
4760137,遺伝子組換えによるせっそう病トキソイドワクチンの開発,7104,1992,1992,Japan Society for the Promotion of Science,Japan
3857253,MHC非拘束性合成う蝕ワクチンの研究,6688,1991,1991,Japan Society for the Promotion of Science,Japan
2857269,蛋白質工学を利用した蝕ワクチンの分子設計,7597,1990,1990,Japan Society for the Promotion of Science,Japan
2856074,鶏コクシジウムのコンポーネント・ワクチンに関する基礎的研究,4833,1990,1990,Japan Society for the Promotion of Science,Japan
1790488,家禽に対する遺伝子組み換えウィルスワクチン用ベクターに関する研究,13118,1989,1990,Japan Society for the Promotion of Science,Japan
592381,Bioprocess Sciences and Technology of Viral Vaccines,156508,2015,2016,Natural Sciences and Engineering Research Council,Canada
580413,Stability of a dry whole cell malaria vaccine,3518,2015,2016,Natural Sciences and Engineering Research Council,Canada
581150,Excipient investigation for improving Herpes simpex II vaccine processing,3518,2015,2016,Natural Sciences and Engineering Research Council,Canada
577324,Targeted microneedle insertion for epidermal vaccine delivery and biosensing,39124,2015,2016,Natural Sciences and Engineering Research Council,Canada
hrc_7d782a16,Novel vaccine approaches for protecting against helminth parasites,927884,2010,2013,Health Research Council of New Zealand,New Zealand
hrc_85e8ff70,Immunisation disparities and vaccine-preventable diseases in New Zealand,90826,2008,2011,Health Research Council of New Zealand,New Zealand
ASTHMARF02L,T cell vaccines for asthma and allergic rhinitis,435809,2001,2006,Asthma UK,United Kingdom
N01AI95367-0-0-1,Clinical Grade H9N2 Influenza Vaccine,0,1999,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60023-3-0-0,NIAID HIV VACCINE RESEARCH EDUCATION INITIATIVE,2685906,2006,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60007-4-0-1,Simian Vaccine Evaluation Units,4388000,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60007-4-0-0,SIMIAN VACCINE EVALUATION UNIT,2090968,2006,2013,National Institute of Allergy and Infectious Diseases,United States
N01AI60006-4-0-1,Simian Vaccine Evaluation Unit (SVEU),3464000,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60006-4-0-0,SIMIAN VACCINE EVALUATION UNIT,6720850,2006,2013,National Institute of Allergy and Infectious Diseases,United States
N01AI60005-5-0-1,Simian Vaccine Evaluation Unit (SVEU),6369000,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60005-5-0-0,SIMIAN VACCINE EVALUATION UNIT,4640567,2006,2013,National Institute of Allergy and Infectious Diseases,United States
N01AI50041-5-0-1,Tularemia Vaccine Development Team,0,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI50041-5-0-0,TULAREMIA VACCINE DEVELOPMENT TEAM,6978780,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI50040-5-0-0,TULAREMIA VACCINE DEVELOPMENT TEAM,4000000,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI50010-0-0-1,HIV Vaccine Design and Development Teams,5042594,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI40091-8-0-1,Tuberculosis Research Materials and Vaccine Testing,515844,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI40091-8-0-0,TUBERCULOSIS RESEARCH MATERIALS AND VACCINE TESTING,4270280,2004,2011,National Institute of Allergy and Infectious Diseases,United States
N01AI30053-0-0-1,Production and Testing of Anthrax Vaccine,0,2003,2007,National Institute of Allergy and Infectious Diseases,United States
N01AI30031-0-0-1,HIV Vaccine Design and Development Teams,1300000,2003,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI30030-0-0-1,HIV Vaccine Design and Development Teams,2600000,2003,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI25464-13-0-2,Vaccine and Treatment Evaluation Unit,791496,2002,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI25453-2-0-1,Vaccine and Treatment Evaluation Unit,17271,2001,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI05421-27-0-1,Malaria Vaccine Production and Support Services,5293544,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI05421-27-0-0,MALARIA VACCINE PRODUCTION AND SUPPORT SERVICES,4312612,2000,2014,National Institute of Allergy and Infectious Diseases,United States
52068,Molecular analysis of immune responses to malaria peptide vaccines,149592,1998,2000,Swiss National Science Foundation,Switzerland
66442,Immunologische Kontrolle der Zeckeninduzierten Immunmodulation: Eine Vakzinestrategie.,0,2001,2002,Swiss National Science Foundation,Switzerland
40199,Conserved CTL Epitopes in HIV-1 as Potential Vaccines.,29019,1994,1995,Swiss National Science Foundation,Switzerland
37440,Biodegradable microspheres as a novel vaccine delivery system,142572,1994,1997,Swiss National Science Foundation,Switzerland
36349,Development of a vaccine against HELICOBACTER PYLORI infection,307034,1993,1995,Swiss National Science Foundation,Switzerland
CRUK-A7825,Robo4 protein as a cancer vaccine,0,2007,2008,Cancer Research UK,United Kingdom
Y205749,肾综合征出血热基因工程疫苗的研制,0,2005,2013,Science and Technology Department of Zhejiang Province,China
Y204458,麻疹流行株的抗原变异对疫苗效果影响的研究,0,2004,2012,Science and Technology Department of Zhejiang Province,China
LQ13C180002,基于蛋白质组学的兔支气管败血波氏杆菌反向疫苗学研究,0,2013,2016,Science and Technology Department of Zhejiang Province,China
Y305031,PRRS多价基因工程疫苗研究的新策略,0,2005,2009,Science and Technology Department of Zhejiang Province,China
DRT-S97-19,Breast Cancer Vaccines from Plants,51865,1998,2000,UC Discovery Grants (formerly IUCRP),United States
DRT-S96-10,Basic Studies in Super Vaccines,54650,1997,1998,UC Discovery Grants (formerly IUCRP),United States
DRT-biostar00-10098,Vaccines Based on DNA Adenine Methylase Technology,127444,2001,2002,UC Discovery Grants (formerly IUCRP),United States
DRT-S97-25,Mechanism of action of DNA vaccines,212413,1998,2000,UC Discovery Grants (formerly IUCRP),United States
3853,Development of a novel carrier/adjuvant for intranasal vaccines,117981,2004,2006,Israel Science Foundation,Israel
9-2000-1012,Australia III - DVDC  (Diabetes Vaccine Development Center),8965963,2004,2014,Juvenile Diabetes Research Foundation,United States
141321,Improving whole-organism vaccines against malaria by genetic modification,0,2016,2018,Foundation for Science and Technology,Portugal
208297,AquaSolve: Nanobead vaccine delivery platform for aquaculture,355035,2011,2012,The Research Council of Norway,Norway
217391,Effective vaccine against winter ulcer in salmon.,272177,2012,2013,The Research Council of Norway,Norway
187664,Low cost production of biopharmaceuticals and vaccines in plants,8529,2007,2007,The Research Council of Norway,Norway
M1-0150 (C),Rekombinantno cepivo proti aviarni influenci,0,2006,2007,Slovenian Research Agency,Slovenia
96/11539-0,Development of a recombinant BCG vaccine - DPT,0,1997,2000,São Paulo Research Foundation,Brazil
94/05878-1,Peptides and proteins for vaccines and therapeutics,0,1995,1996,São Paulo Research Foundation,Brazil
CBD99-020,Development of Naked DNA Vaccine: Brucella,70000,1998,1999,United States Department of Defense,United States
5578,Preparation of liquid live vaccine against rubella,233401,2008,2010,Slovak Research and Development Agency,Slovakia
72284,Construction and characterization of live-attenuated enterobacterial vaccine candidates,55902,2008,2011,Hungarian Scientific Research Fund,Hungary
561463,Evaluation of an oncolytic vaccine in dogs,4071,2014,2015,Natural Sciences and Engineering Research Council,Canada
557753,Bioprocess Sciences and Technology of Viral Vaccines,90554,2014,2015,Natural Sciences and Engineering Research Council,Canada
563155,Targeted microneedle insertion for epidermal vaccine delivery and biosensing,45275,2014,2015,Natural Sciences and Engineering Research Council,Canada
150026,Controlled Release Nanoparticle vaccines,2736860,2005,2010,Innovate UK,United Kingdom
2101,Novel dendritic cell-based vaccine of cancer,67080,2004,2007,Saskatchewan Health Research Foundation,Canada
2093,Transdermal delivery systems for protein medicines and vaccines,72594,2004,2006,Saskatchewan Health Research Foundation,Canada
2094,Transdermal delivery systems for protein medicines and vaccines,37264,2004,2005,Saskatchewan Health Research Foundation,Canada
QLK2-CT-1999-01321,European vaccine effort against hiv/aids,9080219,2000,2005,European Commission,Belgium
